poi_id,name,theme,class_name,subclass_n,x,y,geom
597,OLA STORES,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483629.3093,4211476.5486,MULTIPOINT (483629.3092999998 4211476.548599999)
598,ΙΝΣΤΙΤΟΥΤΟ ΑΝΔΡΟΛΟΓΙΚΩΝ ΔΙΑΤΑΡΑΧΩΝ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,482302.5024,4211477.9429,MULTIPOINT (482302.5023999996 4211477.9429)
599,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,484436.4082,4211479.3221,MULTIPOINT (484436.4082000004 4211479.3221)
600,CITIBANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,482911.2293,4211485.1386,MULTIPOINT (482911.2292999998 4211485.138599999)
601,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,482916.6443,4211491.0702,MULTIPOINT (482916.6442999998 4211491.0702)
602,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΜΟΣΧΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,484560.2896,4211491.1773,MULTIPOINT (484560.2895999998 4211491.177300001)
603,ΕΜΒΙΟΪΑΤΡΙΚΗ ΕΠΕ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,483295.8231,4211491.7543,MULTIPOINT (483295.8230999997 4211491.7543)
604,DETAIL,Διασκέδαση,Καφετέριες,_,482305.3693,4211492.7786,MULTIPOINT (482305.3693000004 4211492.7786)
605,ΣΑΡΑΚΙΝΗ ΘΗΡΕΣΙΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483040.1402,4211494.2424,MULTIPOINT (483040.1402000003 4211494.2424)
606,ΒΟΥΤΣΙΝΟΥ Α. ΜΑΡΙΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482457.2093,4211494.9586,MULTIPOINT (482457.2093000002 4211494.9586)
607,ΦΑΡΜΑΚΕΙΟ ΚΑΛΑΦΑΤΗ ΦΕΒΡΩΝΙΑ,Περίθαλψη,Φαρμακεία,_,483457.0471,4211496.7407,MULTIPOINT (483457.0471000001 4211496.740700001)
608,ΦΑΡΜΑΚΕΙΟ ΠΡΙΝΟΥ ΣΤΥΛΙΑΝΗ,Περίθαλψη,Φαρμακεία,_,482883.367,4211497.3789,MULTIPOINT (482883.3669999996 4211497.378900001)
609,ΠΑΙΔΟΤΟΠΟΣ SMILE,Αθλητισμός και αναψυχή,Χώροι αναψυχής,Παιδότοπος,483049.4277,4211502.5986,MULTIPOINT (483049.4276999999 4211502.5986)
610,PACIFIC RIM,Φαγητό και ποτό,Εστιατόρια,_,482320.3215,4211504.0093,MULTIPOINT (482320.3214999996 4211504.009299999)
611,ΦΑΡΜΑΚΕΙΟ ΑΜΠΑΤΖΗΣ ΑΘΑΝ. Κ.,Περίθαλψη,Φαρμακεία,_,482911.9425,4211504.4305,MULTIPOINT (482911.9424999999 4211504.430500001)
612,ΠΛΑΤΕΙΑ ΑΓΙΑΣ ΛΑΥΡΑΣ,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,483228.004,4211506.9676,MULTIPOINT (483228.0039999997 4211506.967599999)
613,ΜΕΤΑΜΟΡΦΩΣΙΣ ΤΟΥ ΣΩΤΗΡΟΣ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,483257.9765,4211508.7696,MULTIPOINT (483257.9764999999 4211508.7696)
614,ΙΚΑ ΑΜΑΡΟΥΣΙΟΥ,Δημόσιος τομέας,Δημόσιες υπηρεσίες,Ασφαλιστικά ταμεία,482854.2018,4211508.8872,MULTIPOINT (482854.2017999999 4211508.8872)
615,ΠΟΥΛΗΜΕΝΟΣ FLOWER THERAPY,Αγαθά - υπηρεσίες,Καταστήματα,Ανθοπωλεία,483414.0582,4211509.6055,MULTIPOINT (483414.0581999999 4211509.6055)
616,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ (MILLENNIUM BANK),Επιχειρήσεις,Τράπεζες,Καταστήματα,482889.6593,4211512.2986,MULTIPOINT (482889.6593000004 4211512.298599999)
617,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482856.529,4211519.0636,MULTIPOINT (482856.5290000001 4211519.0636)
618,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,482811.8377,4211524.7997,MULTIPOINT (482811.8377 4211524.799699999)
619,HUNTER,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,483068.6993,4211529.1186,MULTIPOINT (483068.6993000004 4211529.1186)
620,HONDOS CENTER,Αγαθά - υπηρεσίες,Καταστήματα,Καλλυντικά,483068.6993,4211529.1186,MULTIPOINT (483068.6993000004 4211529.1186)
621,ΚΕΝΤΡΟ ΔΙΑΝΟΜΗΣ ΕΛΤΑ,Διάφορα,Ταχυδρομεία,_,483368.4506,4211530.7589,MULTIPOINT (483368.4506000001 4211530.7589)
622,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,483112.5192,4211533.5206,MULTIPOINT (483112.5192 4211533.5206)
623,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483285.2352,4211534.5847,MULTIPOINT (483285.2352 4211534.5847)
